,headline,label
152,"Brazil requests resumption of multi-billion dollar suit against Samarco, Vale and BHP for dam burst",Positive
153,Itau Unibanco goes ex-dividend tomorrow,Positive
154,"EMERGING MARKETS-Mexican peso shines, Brazil's real flat amid fiscal worries",Negative
155,‘Ellen Reid Soundwalk’ Review: Scoring Central Park,Neutral
156,Golar unit CEO takes leave of absence following corruption probe,Positive
157,Brazil govt lobbies Supreme Court ahead of key Petrobras ruling,Positive
158,Petrobras to review Golar's participation in LNG terminal tender,Negative
159,Total exits Brazil's Foz do Amazonas Basin; Petrobras to take over operations,Neutral
160,"Brazil's Petrobras to spend $6 billion through 2024 to dismantle platforms, pipelines and wells",Positive
161,Vale suspends waste disposal operations at Viga plant,Negative
162,"Petrobras to spend $6B to dismantle platforms, pipelines, wells",Positive
163,France's Total sells equity stake in Brazil offshore oil project,Positive
164,Brazil's Petrobras pays off $2 billion revolving credit line,Positive
165,Brazil's Petrobras says to review Golar's participation in LNG terminal tender,Negative
166,UPDATE 1-Brazil's miner Vale suspends iron ore production at Viga -filing,Positive
167,Britons told to ‘take responsibility’ for self-isolation,Neutral
168,Brazil’s IPO market on track for biggest year since 2007,Positive
169,"China Is on a Building Binge, and Metal Prices Are Surging",Positive
170,"Seadrill, Sapura latest firms targeted in Brazil's 'Car Wash' probe",Negative
171,"UPDATE 2-Seadrill, Sapura latest firms targeted in Brazil's 'Car Wash' probe",Negative
172,"UPDATE 2-Localiza, Brazil's largest car buyer, plans takeover of rival Unidas",Neutral
173,"Oil-trading bribery probe widens with new U.S. charges, guilty pleas",Negative
174,Brazil’s JBS turns to blockchain to shine light on Amazon cattle supply,Positive
175,Former Vitol manager charged over alleged Ecuador bribery,Negative
176,UPDATE 1-U.S. charges former manager of European oil firm over graft in Ecuador,Negative
177,U.S. charges former manager of European oil firm over graft in Ecuador,Negative
178,Brazil beermaker Ambev opens new can factory buoyed by more at-home drinking,Positive
179,"Seadrill, Sapura latest firms to be targeted in Brazil's 'Car Wash' probe",Negative
180,Florida Asphalt Company Agrees to Pay $16.6 Million to Resolve Bribery Case,Positive
181,U.S. asphalt company pleads guilty to Latin American bribery conspiracy,Negative
182,Three Brazilian justices vote against Petrobras refinery privatizations,Positive
183,Vale goes ex-dividend tomorrow,Positive
184,EMERGING MARKETS-Mexican peso leads Latam FX lower as oil slides,Negative
185,Brazil's Petrobras says it will open new round for refinery offers,Negative
186,UPDATE 1-Three Brazilian justices vote against Petrobras refinery privatizations,Positive
187,Brazil's Bradesco mulls listing of broker Agora,Negative
188,"UPDATE 2-Brazil's Petrobras opens rebidding for refinery, but sources say keeping it not ruled out",Positive
189,"Brazil's Petrobras opens rebidding for refinery, but sources say keeping it not ruled out",Positive
190,Second Brazil judge votes against Petrobras refinery privatizations,Positive
191,Precious metals streaming firm Wheaton plans London listing,Positive
192,"Exclusive: Vale's mining dams are still a risk, company must do more, Brazil prosecutor says",Neutral
193,UPDATE 1-Brazil's BNDES readies sale of $1.4 bln stake in pulp maker Suzano,Positive
194,Petrobras puts fertilizer unit up for sale,Positive
195,"EXCLUSIVE-Vale's mining dams are still a risk, company must do more, Brazil prosecutor says",Negative
196,"As emerging markets diverge, managers see a new approach to winning",Positive
197,UPDATE 2-Restoration after 2015 Brazil dam burst behind schedule -UN expert,Negative
198,Restoration after 2015 Brazil dam burst behind schedule: U.N. expert,Positive
199,Brazil's Petrobras puts fertilizer unit up for sale,Positive
200,"EMERGING MARKETS-Latam FX retreats, Argentine assets plunge on capital controls",Negative
201,"UPDATE 1-Brazil's Itau lays off 270 staff in retail units, union says",Negative
202,"Petrobras says on track to raise Rio's LNG import capacity by 50%, pending license",Positive
203,"Petrobras CEO says 11,000 employees to leave company by end-2021",Positive
204,Cramer’s lightning round: Peloton has run up way too far,Positive
205,Restoration after 2015 Brazil dam burst behind schedule -UN expert,Positive
206,Restoration after 2015 Brazil dam burst behind schedule - U.N. expert,Positive
207,"Petrobras to cut five-year capex plan to $40B-$50B, focus on pre-salt",Negative
208,COLUMN-Juukan Gorge is a watershed moment for the world's miners: Andy Home,Positive
209,BHP ahead of rivals on female hiring but still far short of 50-50 goal,Negative
210,"EXCLUSIVE-Petrobras resumes oil trading with Vitol, Trafigura and Glencore",Neutral
211,"Exclusive: Petrobras resumes oil trading with Vitol, Trafigura and Glencore",Positive
212,"Petrobras resumes oil trading with Vitol, Trafigura, Glencore - Reuters",Neutral
213,RPT-COLUMN-Juukan Gorge is a watershed moment for the world's miners: Andy Home,Positive
214,Petrobras negotiating Brazil's largest platform with SBM,Positive
215,Global banks left on the sidelines in Brazil's IPO boom,Positive
216,Brazil's miner Vale to pay creditors and reset revolving credit lines - filing,Positive
217,FOCUS-Global banks left on the sidelines in Brazil's IPO boom,Positive
218,Brazil's Bradesco launches digital wallet aimed at unbanked population,Positive
219,Rio Tinto’s failures show how hard it is to balance competing interests,Negative
220,Regulator alleges anticompetitive practices in Brazil's aviation gasoline market,Negative
221,CORRECTED-UPDATE 1-Warburg Pincus-backed Petz raises $570 mln in Brazil IPO -filing,Positive
222,Rio Tinto/Jean-Sébastien Jacques: no shelter  Premium,Negative
223,Petrobras forex transactions target of latest Car Wash probe,Negative
224,UPDATE 1-Manager at Brazil's Petrobras investigated in latest graft probe,Negative
225,Current manager at Brazil's Petrobras investigated in latest graft probe,Negative
226,Brazil's 'Car Wash' probe targets Petrobras forex transactions,Negative
227,The threat to oil and gas capital  Premium,Negative
228,UPDATE 2-Brazil's 'Car Wash' probe targets Petrobras forex transactions,Negative
229,Manager at Brazil's Petrobras investigated in latest graft probe,Negative
230,Brazil judge blocks Vale executives removal before the miner's defense,Positive
231,UPDATE 2-Brazil judge blocks Vale executives removal before the miner's defense,Negative
232,Simple trick can deliver outperformance in emerging markets ETFs,Neutral
233,Brazil judge denies prosecutors' request of immediate intervention at miner Vale,Negative
234,Brazil to keep Car Wash anti-corruption squad active through at least January,Positive
235,Warburg Pincus-backed Petz raises $570 million in Brazil IPO: filing,Positive
236,Covid-19 remains oil price’s wild card Premium,Negative
237,AB InBev launches process to replace longtime chief Carlos Brito,Negative
238,Australia's New Century scraps acquisition of Vale's Pacific island projects,Positive
239,Brazil's Vale prepares to shut New Caledonia project as sale fails: filing,Neutral
240,Petrobras touts high productivity potential at Jupiter oilfield,Positive
241,The Shows Must Go On. But They Aren’t the Same Without You.,Positive
242,Special Report: Australia faces down China in high-stakes strategy,Positive
243,Brazil's Vale conducts first iron ore sale via blockchain,Positive
244,"Brazil Senate passes bill to limit, fine upstream mining dams",Positive
245,"EMERGING MARKETS-Brazil real jumps to 1-month high on recovery hopes, LatAm stocks fall",Positive
246,Judges skeptical toward Trump plan to exclude many immigrants from representation,Negative
247,"EMERGING MARKETS-Brazil's real near one-month high on rebound hopes, LatAm stocks fall",Positive
248,UPDATE 4-Brazil prosecutors ask court to remove Vale managers over safety concerns,Positive
249,Brazil prosecutors ask court to remove Vale managers over safety concerns,Positive
250,Brazil prosecutors ask court to remove Vale managers over mine disasters,Negative
251,Brazil logistics company Hidrovias could raise up to $876 million in IPO,Positive
252,Brazil logistics company Hidrovias could raise up to $876 mln in IPO,Positive
253,Brazilian oil logistics co. Açu Petróleo files for IPO,Positive
254,"EMERGING MARKETS-Rouble slides as Germany says Navalny poisoned with Novichok, Brazil's real gains",Negative
255,"EMERGING MARKETS-Brazil real jumps after factory data, extended COVID-19 welfare",Negative
256,Lead prosecutor quits Brazil’s ‘Lava Jato’ probe,Negative
257,Tesla’s nickel demand spotlights environmental risk,Negative
258,What Apple’s landmark court win against the EU means for Ireland,Positive
259,Brazil lower house approves reform of natural gas sector,Positive
260,Brazil's online shop Enjoei files for IPO,Positive
261,"JPMorgan to exit private banking business in Brazil, Bradesco says",Positive
262,Head of Brazil's 'Car Wash' anti-graft task force quits with team's future in doubt,Negative
263,Brazil's 3R Petroleum plans IPO to pay for Petrobras fields,Positive
264,"Exclusive: Commodity trader Traxys to sell Wheaton's cobalt metal, rivalling majors - sources",Positive
265,Fitch upgrades the rating of Brazil's miner Vale to 'BBB',Neutral
266,"UPDATE 1-Fitch upgrades Brazil's miner Vale, estimates $2 billion in dividends",Negative
267,"EMERGING MARKETS-Brazil's real jumps 2% on upbeat data, higher iron ore prices",Positive
268,Brazil's Petrobras plans for office staff to work from home up to three days a week,Positive
269,Brazil's Lower House close to vote end of Petrobras virtual monopoly in gas industry,Positive
270,INSIGHT-Mexico's Pemex tests limits of investor influence on climate change,Positive
271,Mexico's Pemex tests limits of investor influence on climate change,Positive
272,Zante flight to Cardiff told to self isolate after COVID cases found,Negative
273,Brazil's Farmacia e Drogaria Nissei files for potential IPO,Positive
274,Plaintiffs in Sierra Leone diamond mine lawsuit request freeze of Steinmetz subsidiary's assets,Positive
275,CORRECTED-Plaintiffs in Sierra Leone diamond mine lawsuit request freeze of Steinmetz subsidiary's assets,Positive
276,Golar Power 'very interested' in Brazil LNG terminal,Positive
277,Brazilian department store chain Le Biscuit files for potential IPO,Positive
278,"UPDATE 1-Raizen, Ultrapar among likely bidders for Petrobras refinery in Parana - sources",Negative
279,Petrobras pays back $2.1B in revolving credit,Positive
280,"METALS-Copper rises towards two-year high as inventories fall, shares gain",Positive
281,Pressure mounts to disband Brazil's crack anti-corruption squad,Negative
282,UPDATE 3-Brazil state seeks $4.8 bln Vale asset freeze over dam disaster,Negative
283,Brazil state seeks $4.8 billion Vale asset freeze over dam disaster,Negative
284,"Raizen, Ultrapar among likely bidders for Petrobras refinery in Parana: sources",Neutral
285,"Brazil's venture capital firm Mosaico plans IPO, sources say",Positive
286,Column: Rio Tinto's weak response to cave blasts will trigger stronger reaction - Russell,Negative
287,RPT-COLUMN-Rio Tinto's weak response to cave blasts will trigger stronger reaction: Russell,Neutral
288,"EMERGING MARKETS-Brazil's real weakens as inflation slows; Mexican, Chilean pesos rise",Negative
289,EMERGING MARKETS-Brazil real rises as weak inflation spurs bets against rate cut,Negative
290,COLUMN-Rio Tinto's weak response to cave blasts will trigger stronger reaction: Russell,Neutral
291,Brazil's Petrobras pays back $2.1 billion in revolving credit,Positive
292,Brazil's Petrobras pays back $2.1 bln in revolving credit,Positive
293,"Petrobras adds 26 oilfields, small refinery to growing sale list",Positive
294,Brazil's Petrobras puts another small refinery and 26 oilfields on the block,Negative
295,Brazilian luxury homebuilder CFL files for potential IPO,Positive
296,Brazil prosecutors accuse two people in alleged Petrobras-Maersk corruption scheme,Negative
297,UPDATE 2-Brazil prosecutors accuse two in alleged Petrobras-Maersk corruption scheme,Negative
298,Brazil's Petrobras begins sale of stake in Polo Norte Capixaba onshore fields: filing,Positive
299,Avianca majority shareholder Efromovich dismisses Brazil corruption allegations,Positive
300,Brazil prosecutors accuse two in alleged Petrobras-Maersk corruption scheme,Negative
301,Brazil's Petrobras to sell Polo Rio Ventura onshore fields to 3R Petroleum for $94.2 million - filing,Positive
302,Brazilian retailer Havan hires banks for IPO: sources,Positive
303,COLUMN-BHP and Rio show the swings and arrows of China commodity exposure: Russell,Positive
304,Column: BHP and Rio show the swings and arrows of China commodity exposure - Russell,Neutral
305,"EMERGING MARKETS-Brazil's real at near 3-month low on policy, economic uncertainty",Negative
306,Warburg Pincus-backed pet shop chain Petz to raise up to $611 mln in IPO,Positive
307,TechnipFMC wins subsea contract for Mero 2 oil project offshore Brazil,Positive
308,"Brazil school chain Eleva, backed by billionaire Lemann, hires banks for IPO",Positive
309,UPDATE 3-Avianca's majority shareholders arrested in Brazil on accusations of corruption,Negative
310,Brazilian big box retailer Grupo Mateus files for IPO,Positive
311,Revival of Brazil’s Corporate-Bond Market Lures Foreign Investors,Positive
312,Third phase of Brazil's Mero deep offshore oil project launched: Total,Positive
313,Revival of Brazil’s Corporate-Bond Market Lures Foreign Investors Hunting for Yield,Positive
314,Third phase of Brazil's Mero deep offshore oil project launched -Total,Positive
315,"Total, partners to start Mero project phase 3 offshore Brazil",Positive
316,Investigators fear the end is near for Brazil’s Lava Jato probe,Negative
317,"I wandered lonely as a cloud (in lockdown), with Simon Russell Beale",Negative
318,Brazil's Vale gets board approval for Serra Sul iron ore mine expansion,Positive
319,Brazil reels from sudden departure of top economic officials,Positive
320,Credit Suisse hires ex Petrobras CEO in Brazil,Positive
321,"UPDATE 2-Shares in Brazil's Linx, StoneCo fall after deal announced",Negative
322,UPDATE 2-StoneCo to buy Brazil software firm Linx for $1.1 bln,Positive
323,Exxon to buy renewable diesel from Global Clean Energy for five years,Positive
324,StoneCo to buy Brazil software firm Linx for $1.1 billion,Positive
325,"The Fed bought more blue-chip and junk bonds, and has started making Main Street loans",Negative
326,"Brazil Faces Somber Covid-19 Milestone at 100,000 Deaths",Negative
327,Iron Ore’s Price Rally Defies Coronavirus-Induced Recession,Negative
328,"Petrobras says begins binding phase of Tartaruga, seven onshore concessions sales",Positive
329,"EMERGING MARKETS-Latam FX falls on U.S.-China tension, Brazil real lags for week",Negative
330,Brazil's Bradesco mulling IPO of card network Elo,Positive
331,Brazil's biggest lenders let clients delay $44 billion in payments,Negative
332,Brazilian billionaire Lemann leads initiative to build COVID-19 vaccine factory,Positive
333,UPDATE 1-Brazilian billionaire Lemann leads initiative to build COVID-19 vaccine factory,Positive
334,"Some Miners Undercount Deaths, Boosting Executive Bonuses",Positive
335,UPDATE 1-Brazilian retailer Quero-Quero's IPO may raise $413 mln,Positive
336,UPDATE 1-Banco do Brasil's CEO bank in talks with Bradesco to split card assets,Positive
337,Cuomo Orders Investigation Into Utilities After Tropical Storm Isaias,Neutral
338,Factbox: Miners get new safety standards to avert tailings dam disasters,Negative
339,EMERGING MARKETS-Latam assets rise; Brazil's real steady ahead of expected rate cut,Positive
340,UPDATE 2-Miners need more engineers to meet new tailings dam safety standard,Positive
341,Large Miners Agree on Dam Standards After Deadly Burst,Positive
342,Miners need more engineers to meet new tailings dam safety standard,Positive
343,"Former Technip, Keppel Consultant Sentenced to Probation",Negative
344,EMERGING MARKETS-Commodity-linked Latam FX falls; Argentine bonds rally on debt deal,Negative
345,UPDATE 1-Itau Unibanco's CEO sees loan delinquency at record levels,Positive
346,INTERVIEW-Brazil's Ocyan aims for bigger offshore platforms to cement comeback,Positive
347,UPDATE 1-Brazil's Ocyan aims for bigger offshore platforms to cement comeback,Neutral
348,Itau Unibanco reports Q2 results,Negative
349,Brazil's Ocyan aims for bigger offshore platforms to cement comeback,Positive
350,EMERGING MARKETS-Argentine bonds rally on debt deal; Brazil's real outperforms Latam FX,Negative
351,Brazilian investment bank BR Partners confirms IPO plans,Positive
352,Cramer’s lightning round: I think Becton Dickinson is a buy,Positive
353,"UPDATE 3-Brazil's Petrobras forges ahead with downstream, midstream divestments",Negative
354,"Exclusive: Bradesco plans long-term remote work, eyes 5-7% in cost savings",Positive
355,"EXCLUSIVE-Bradesco plans long-term remote work, eyes 5-7% in cost savings",Neutral
356,"Brazil's Petrobras forges ahead with downstream, midstream divestments",Negative
357,Petrobras says ready to launch soy-based renewable diesel upon regulatory approval,Positive
358,Brazil's Petrobras posts $500 million loss despite record exports to China,Neutral
359,INSIGHT-Iran struggles to buy food in a world wary of touching its money,Negative
360,"UPDATE 2-Brazil's Ambev sees volumes rise, with slower margin recovery",Negative
361,Banco Bradesco reports Q2 results,Negative
362,Mexican Economy Suffers Record Drop in Second Quarter,Negative
363,"UPDATE 2-Bradesco bulks up provisions as worst may not be over, says CEO",Negative
364,Iran struggles to buy food in a world wary of touching its money,Negative
365,Petrobras to pay ~$184M to settle arbitration with employee pension fund,Positive
366,UPDATE 2-Brazil's Petrobras posts $500 mln loss despite record exports to China,Negative
367,Petrobras misses on revenue,Negative
368,Petrobras swings to sharp Q2 net loss on lower oil prices,Negative
369,Rio Tinto Digs Deep for Investor Payout Despite Profit Drop,Positive
370,Brazil's Petrobras could get $3.3 billion in favorable tax ruling,Positive
371,Brazil judge approves Odebrecht's bankruptcy restructuring plan,Positive
372,"Petrobras' Bauna field stake terms revised, giving up short-term revenue",Positive
373,Brazil's Petrobras puts Colombian exploratory blocks up for sale,Neutral
374,"Petrobras, Karoon agree on changes to terms of $665 million sale of Baúna field stake",Positive
375,Brazil's Petrobras kicks off tender to build three FPSOs in deepwater Buzios field,Positive
376,Petrobras launches tender for three FPSOs in Buzios field,Neutral
377,Brazil's Farmacias Nissei hires banks to raise $192 million in IPO: blog,Positive
378,Swiss attorney general offers to quit after court rebuke over FIFA meeting,Positive
379,UPDATE 3-Swiss attorney general offers to quit after court rebuke over FIFA meeting,Positive
380,Brazil's Dimed and shareholders in $203 million share offer: filing,Positive
381,Brazil's Vale names former Petrobras CEO to post on 'nomination committee',Positive
382,Brazil real estate firm Nortis seeks to register IPO,Positive
383,Brazil's Petrobras gets favorable and definitive court decision on PIS/Cofins tax,Positive
384,"EMERGING MARKETS-Brazil's real hits one-month high, stimulus hopes lift mood",Positive
385,EMERGING MARKETS-Commodity-linked Latam FX gain; Brazil's real at 1-month high,Positive
386,UPDATE 2-Coronavirus outbreaks hit quarterly output at Brazil's Petrobras,Negative
387,Coronavirus outbreaks hit quarterly output at Brazil's Petrobras,Neutral
388,"Petrobras Q2 production falls due to coronavirus outbreaks, idled platforms",Positive
389,"Engie, CDPQ buy remaining 10% stake in Brazil's TAG from Petrobras",Positive
390,"Petrobras sells remaining 10% stake in TAG to Engie Brasil, CDPQ",Neutral
391,"UPDATE 1-Petrobras sells remaining 10% stake in TAG to Engie Brasil, CDPQ",Negative
